Month,EW,Factordiff,Emp,ShrEmp
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-2.117431095599714652e+01,-1.165773795463106666e+01,-1.666560373761996061e+01,-1.669727874335420026e+01
2.000000000000000000e+00,-7.340968454450012892e+00,0.000000000000000000e+00,-8.296606478808547180e+00,-7.701986466598379266e+00
3.000000000000000000e+00,-2.285415951644398369e+00,0.000000000000000000e+00,-3.813085580262328023e+00,-2.690319640979738303e+00
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.503324197115796901e-02,0.000000000000000000e+00
7.000000000000000000e+00,-3.951933134644222800e+00,-1.024015606038527082e+01,-5.243790678831418361e+00,-5.042651822993072130e+00
8.000000000000000000e+00,-5.290545298044844191e-01,-1.719063932299487618e+01,-4.700890665097778864e+00,-3.045848985969973555e+00
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-6.987105117991876391e-01,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00,-6.317480377280851656e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00,-7.349148758935173831e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,-1.126241471119785675e+00,-2.003694789589562930e+00,-1.458478087564414327e+00
1.700000000000000000e+01,-1.330417874826069546e+00,-2.244504672413535573e+00,-5.209645773893130105e+00,-4.421974957336315626e+00
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.894718383774688597e+00,-1.458378514905341650e+00
1.900000000000000000e+01,-3.448918517062651290e+00,-6.751932991844435072e+00,-3.688421343764747284e+00,-4.238833433052186628e+00
2.000000000000000000e+01,-1.226157200530375857e-01,-6.742472235592840590e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,-3.986686159159248177e+00,-4.299982233718136371e+00,-1.613517043792035643e+00,-2.410454908695768506e+00
2.200000000000000000e+01,-2.091748583176862741e+00,-5.955375648627701857e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,-7.104801343085084930e+00,-4.742639787097820303e+00,-2.091871678874045681e+00,-3.129968679591938141e+00
2.400000000000000000e+01,-6.477831317140758216e+00,0.000000000000000000e+00,-2.164323921092041303e+00,-3.058383387625367877e+00
2.500000000000000000e+01,-3.636120889159755176e+00,0.000000000000000000e+00,-2.009135365858837563e+00,-2.144180588374232865e+00
2.600000000000000000e+01,-1.231672600689733343e+01,-2.441993541768003873e+00,-9.606765626199742059e+00,-9.284344997072741634e+00
2.700000000000000000e+01,-1.267306625638675044e+01,-1.643192095182688206e+01,-1.035154784735958700e+01,-8.857909498266341330e+00
2.800000000000000000e+01,-2.022065807663117454e+01,-3.463774124377010111e+01,-1.512835464855193912e+01,-1.477970304028650439e+01
2.900000000000000000e+01,-1.387837958160394791e+01,-4.042947232611495423e+01,-1.267026242108237000e+01,-1.124762757754820797e+01
