Month,EW,Factordiff,Emp,ShrEmp
0.000000000000000000e+00,5.000000000000000711e+01,2.046085336944021265e+03,6.896714110311310151e+02,4.317718856358461608e+02
1.000000000000000000e+00,5.000000000000000711e+01,2.290644623580179541e+03,7.047428207899255312e+02,4.393277106605891049e+02
2.000000000000000000e+00,5.000000000000000711e+01,3.671664903829685500e+03,7.998493126622106502e+02,4.946740619195736599e+02
3.000000000000000000e+00,5.000000000000000711e+01,2.476816397611075899e+03,8.307055819179728360e+02,5.198716236985389969e+02
4.000000000000000000e+00,5.000000000000000711e+01,2.698408807043830620e+03,8.555921327579471836e+02,5.193564229678141828e+02
5.000000000000000000e+00,5.000000000000000711e+01,1.850198627801438079e+03,8.958310896115252717e+02,5.174400635444545742e+02
6.000000000000000000e+00,5.000000000000000711e+01,1.969455294528953345e+03,8.964881301184951781e+02,5.196436226553048527e+02
7.000000000000000000e+00,5.000000000000000711e+01,2.109175147791802829e+03,8.924778186273890697e+02,5.151601486393280993e+02
8.000000000000000000e+00,5.000000000000000711e+01,3.411789877973692001e+03,9.090941562590179501e+02,5.136750367505046597e+02
9.000000000000000000e+00,5.000000000000000711e+01,2.716497628490084026e+03,8.823859475581272136e+02,5.101544702058592975e+02
1.000000000000000000e+01,5.000000000000000711e+01,3.382831439184802093e+03,9.630706669667200686e+02,5.418901511032249800e+02
1.100000000000000000e+01,5.000000000000000711e+01,2.558164519455895970e+03,9.805455300075739160e+02,5.352105185506604812e+02
1.200000000000000000e+01,5.000000000000000711e+01,1.812085655979457897e+03,9.116210225794472990e+02,5.282910577955306053e+02
1.300000000000000000e+01,5.000000000000000711e+01,8.550550195183457618e+03,9.506715667769159381e+02,5.565336475826105698e+02
1.400000000000000000e+01,5.000000000000000711e+01,2.026969918783630192e+03,9.437195897094718475e+02,5.564576925817557367e+02
1.500000000000000000e+01,5.000000000000000711e+01,3.250384878446071980e+03,9.368645389235529137e+02,5.530677837304782543e+02
1.600000000000000000e+01,5.000000000000000711e+01,1.499001379022788569e+03,9.365360482299971636e+02,5.531072146120541220e+02
1.700000000000000000e+01,5.000000000000000711e+01,3.145616661614486475e+03,9.194364486945561339e+02,5.473258998419139516e+02
1.800000000000000000e+01,5.000000000000000711e+01,1.847765067562219429e+03,9.156022999858355433e+02,5.318381812034934910e+02
1.900000000000000000e+01,5.000000000000000711e+01,1.251318761350961495e+03,9.131226377911391410e+02,5.303016648797511152e+02
2.000000000000000000e+01,5.000000000000000711e+01,1.902066741718347657e+03,9.644841680676532860e+02,5.510318809561313174e+02
2.100000000000000000e+01,5.000000000000000711e+01,2.002353788394972753e+03,9.595964532895596903e+02,5.485812614519142016e+02
2.200000000000000000e+01,5.000000000000000711e+01,1.331046183401561166e+03,9.757031589027220662e+02,5.617716064597303784e+02
2.300000000000000000e+01,5.000000000000000711e+01,2.637668015809274038e+03,9.607791663307083354e+02,5.465363481460607318e+02
2.400000000000000000e+01,5.000000000000000711e+01,1.413791865420137356e+03,9.987379778236986567e+02,5.748550596242833990e+02
2.500000000000000000e+01,5.000000000000000711e+01,1.294231450841676178e+03,9.898719108219958116e+02,5.780460411901447060e+02
2.600000000000000000e+01,5.000000000000000711e+01,1.519425560188962891e+03,9.843791127407226895e+02,5.679104832811187862e+02
2.700000000000000000e+01,5.000000000000000711e+01,1.701403682428201364e+03,9.179190445405550918e+02,5.585891426009472980e+02
2.800000000000000000e+01,5.000000000000000711e+01,1.851619206825672109e+03,8.907475375155537449e+02,5.502860957838158811e+02
2.900000000000000000e+01,5.000000000000000711e+01,2.115561611572535639e+03,9.538206170447267596e+02,5.878982672237716542e+02
